Category,#,Feature,Sub-Feature,Description,Decagon,Sierra
Programmable Platform (ABL DSL),2.32,Built-in Functions,String (10),"UPPER, LOWER, TRIM, SUBSTRING, REPLACE, SPLIT, JOIN, PAD_START, PAD_END, REPEAT",,
Programmable Platform (ABL DSL),2.33,Built-in Functions,Formatting (4),"MASK, FORMAT_CURRENCY, FORMAT_DATE, ORDINAL",,
Programmable Platform (ABL DSL),2.34,Built-in Functions,Type (5),"IS_ARRAY, IS_NUMBER, IS_STRING, TO_NUMBER, TO_STRING",,
Programmable Platform (ABL DSL),2.35,Built-in Functions,Array (3),"LENGTH, ARRAY_FIND, ARRAY_FIND_INDEX",,
Programmable Platform (ABL DSL),2.36,Built-in Functions,Object (3),"OBJECT_KEYS, OBJECT_VALUES, OBJECT_MERGE",,
Programmable Platform (ABL DSL),2.37,Built-in Functions,Utility (3),"COALESCE, NOW, UNIQUE_ID",,
Programmable Platform (ABL DSL),2.38,Expression Engine,Operators,"==, !=, >, <, >=, <=, IN, NOT IN, CONTAINS, MATCHES, IS SET, IS NOT SET, AND, OR, NOT",,
Programmable Platform (ABL DSL),2.39,Expression Engine,Variable Paths,"Dot notation (user.name), array access (items[0]), nested paths",,
Programmable Platform (ABL DSL),2.40,Memory,Session Variables,Per-session volatile state cleared on session end,,
Programmable Platform (ABL DSL),2.41,Memory,Persistent Memory,Cross-session storage with namespaced paths and access control,,
Programmable Platform (ABL DSL),2.42,Memory,Remember Triggers,"Auto-store values when conditions met, with TTL-based expiry",,
Programmable Platform (ABL DSL),2.43,Memory,Recall Instructions,"ON_START, ON_SEARCH recall directives for memory retrieval",,
Programmable Platform (ABL DSL),2.44,Lifecycle,ON_START Hook,"Session initialization: greet, set variables, call tools, delegate",,
Programmable Platform (ABL DSL),2.45,Lifecycle,ON_ERROR Handlers,"Per-error-type handling with retry count, delay, and then-transition",,
Programmable Platform (ABL DSL),2.46,Lifecycle,COMPLETE Conditions,"Completion triggers with when-clause, response template, and memory store",,
Programmable Platform (ABL DSL),2.47,Lifecycle,Hooks,"before_agent, after_agent, before_turn, after_turn lifecycle hooks",,
Programmable Platform (ABL DSL),2.48,Templates,Named Templates,"Reusable response templates with interpolation, multi-format output, and actions",,
Programmable Platform (ABL DSL),2.49,Messages,Configurable Messages,"Override all platform messages (error, constraint, gather, escalation, completion) per agent",,
Programmable Platform (ABL DSL),2.50,NLU Config,In-DSL NLU,"Configure models, languages, intents, categories, entities, embeddings, evaluation directly in ABL",,
Build with AI,3.1,Arch AI Assistant,Conversational Agent Design,AI-guided agent creation through natural conversation in Studio,,
Build with AI,3.2,Arch AI Assistant,Suggestion Chips,Contextual quick-action suggestions based on current design stage,,
Build with AI,3.3,Arch AI Assistant,Diff View,Visual diff viewer showing proposed code changes before applying,,
Build with AI,3.4,Arch AI Assistant,Plan & Proposal Messages,Structured multi-step change proposals with accept/reject,,
Build with AI,3.5,Lifecycle Stepper,Ideate Stage,Problem/requirement capture guided by AI,,
Build with AI,3.6,Lifecycle Stepper,Design Stage,Architecture and domain modeling with AI assistance,,
Build with AI,3.7,Lifecycle Stepper,Build Stage,ABL code editing with AI pair-programming,,
Build with AI,3.8,Lifecycle Stepper,Test Stage,Test scenario definition and execution,,
Build with AI,3.9,Lifecycle Stepper,Deploy Stage,Production deployment guidance,,
Build with AI,3.10,Spec Generation,Quick Generate,Generate complete agent spec from natural language domain description,,
Build with AI,3.11,Spec Generation,Pipeline Stepper,Multi-step generation pipeline with review at each stage,,
Build with AI,3.12,Spec Generation,Review Screen,Review and edit generated spec before finalizing,,
Build with AI,3.13,ABL Editor,Syntax Highlighting,Full-featured code editor with ABL syntax support,,
Build with AI,3.14,ABL Editor,Live Compilation,Real-time ABL to IR compilation with error display,,
Build with AI,3.15,ABL Editor,IR Viewer,Inspect compiled AgentIR output alongside source,,
Build with AI,3.16,MCP Debug Tools,15 Debug Tools,"Connect, inspect agents, trace events, explain decisions, analyze sessions via MCP protocol",,
Build with AI,3.17,MCP Debug Tools,AI-Powered Session Analysis,"Automated issue detection: loops, errors, constraint violations with fix suggestions",,
Build with AI,3.18,Static Analyzer,Conflict Detection,Detect routing/coordination conflicts across multi-agent projects,,
Build with AI,3.19,Static Analyzer,Coverage Analysis,Find unreachable flows and missing handlers,,
Build with AI,3.20,Static Analyzer,Security Analysis,Detect PII exposure and credential handling issues,,
Omnichannel Capabilities,4.1,Async/Webhook Channels,Slack,"Bot integration with Block Kit rich messages, block_actions events, bot_token + signing_secret auth",Zendesk/Salesforce integrations,Platform-managed
Omnichannel Capabilities,4.2,Async/Webhook Channels,WhatsApp,"Interactive messages (buttons/lists) via webhook adapter, app_secret + access_token auth",Zendesk/Salesforce integrations,Platform-managed
Omnichannel Capabilities,4.3,Async/Webhook Channels,Facebook Messenger,"Templates with buttons/quick replies, postback events, page_access_token auth",Zendesk/Salesforce integrations,Platform-managed
Omnichannel Capabilities,4.4,Async/Webhook Channels,Microsoft Teams,"Adaptive Cards with invoke action events, app_id + client_secret auth",Zendesk/Salesforce integrations,Platform-managed
Omnichannel Capabilities,4.5,Async/Webhook Channels,Email,Async email processing with delivery tracking,Zendesk/Salesforce integrations,Platform-managed
Omnichannel Capabilities,4.6,Async/Webhook Channels,HTTP Async,Asynchronous HTTP with callback webhooks,,
Omnichannel Capabilities,4.7,Async/Webhook Channels,VXML/IVR,Enterprise PBX integration for Genesys / Avaya / Cisco contact centers,,
Omnichannel Capabilities,4.8,Async/Webhook Channels,Jambonz,Open-source voice gateway for SIP/PSTN telephony,,
Omnichannel Capabilities,4.9,Real-time Channels,Web Chat (SDK WebSocket),Embeddable chat widget with bidirectional WebSocket transport,Chat widget,Chat widget
Omnichannel Capabilities,4.10,Real-time Channels,Web Debug,Studio testing channel with full trace integration,,
Omnichannel Capabilities,4.11,Real-time Channels,Voice (Generic),Voice channel with configurable STT/TTS pipeline,,
Omnichannel Capabilities,4.12,Real-time Channels,Voice (Twilio),Twilio Media Streams integration with TwiML,,
Omnichannel Capabilities,4.13,Real-time Channels,Voice (LiveKit),LiveKit SIP/WebRTC real-time voice with multi-participant support,,
Omnichannel Capabilities,4.14,REST/Special Channels,REST API,Stateless HTTP API for programmatic interaction,REST API,REST API
Omnichannel Capabilities,4.15,REST/Special Channels,AG-UI (SSE Streaming),Server-Sent Events streaming protocol for modern frontend integration (CopilotKit),,
Omnichannel Capabilities,4.16,Rich Message Formats,Slack Block Kit,Native Slack Block Kit for rich interactive messages in Slack channels,Platform-rendered,Platform-rendered
Omnichannel Capabilities,4.17,Rich Message Formats,Adaptive Cards (Teams),Microsoft Adaptive Card format for Teams channel messages,Platform-rendered,Platform-rendered
Omnichannel Capabilities,4.18,Rich Message Formats,WhatsApp Interactive,Native WhatsApp buttons and list menus,Platform-rendered,Platform-rendered
Omnichannel Capabilities,4.19,Rich Message Formats,Messenger Templates,Facebook Messenger button and quick reply templates,Platform-rendered,Platform-rendered
Omnichannel Capabilities,4.20,Rich Message Formats,AG-UI Event Streams,Structured event stream format (TEXT_MESSAGE_START/CONTENT/END) for CopilotKit/AG-UI frontends,,
Omnichannel Capabilities,4.21,Rich Message Formats,Markdown / HTML,Standard markdown and HTML rendering for web channels,,
Omnichannel Capabilities,4.22,Interactive Actions,Per-Channel Action Types,"button, select, input (text/number/date/time/email) with automatic per-channel native format transforms",Not exposed,Not exposed
Omnichannel Capabilities,4.23,Action Events,Structured Action Events,"ActionEvent with formData and per-channel source tracking (Slack block_actions, WhatsApp button_reply, Messenger postback, Teams invoke)",Not exposed,Not exposed
Omnichannel Capabilities,4.24,Streaming Protocol,AG-UI SSE Protocol,"TEXT_MESSAGE_START/CONTENT/END, TOOL_CALL_START/ARGS/END events for real-time frontend streaming",Not exposed,Not exposed
Omnichannel Capabilities,4.25,Streaming Protocol,Bidirectional Voice Streaming,Real-time audio I/O streaming for voice channels with server-side VAD,,
Omnichannel Capabilities,4.26,Channel Security,Per-Channel Credentials,"Channel-specific auth management: Slack (bot_token, signing_secret), WhatsApp (app_secret, access_token), Teams (app_id, client_secret), Messenger (page_access_token)",Platform-managed,Platform-managed
Omnichannel Capabilities,4.27,Webhook Events,Outbound Webhooks,"Event notifications: agent.response, session.completed, session.escalated, delivery.failed",Not exposed,Not exposed
Omnichannel Capabilities,4.28,Queue Architecture,Async Pipeline,webhook → adapter → BullMQ queue → process → delivery queue → send with failure tracking and retry,Monolithic,Monolithic
Omnichannel Capabilities,4.29,Queue Architecture,Real-time Pipeline,WebSocket/SSE direct connection for low-latency bidirectional interaction,Monolithic,Monolithic
Omnichannel Capabilities,4.30,Session Continuity,Cross-Channel Sessions,Resume sessions across channels via identity resolution,,
Omnichannel Capabilities,4.31,Session Continuity,Channel Artifact Resolution,"Resolve existing sessions from channel-specific artifacts (cookie, phone number, email)",,
Omnichannel Capabilities,4.32,SDK Embedding,Embed Code Generator,Generate iframe/script embed code for web deployment,,
Voice Experiences,5.1,Speech-to-Text,Deepgram Integration,Real-time streaming transcription with multi-language and confidence scoring,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.2,Speech-to-Text,Google Cloud STT,Google Speech-to-Text streaming integration,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.3,Speech-to-Text,Azure Speech,Azure Cognitive Services speech recognition,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.4,Text-to-Speech,ElevenLabs Integration,High-quality voice synthesis with multiple voice variants and streaming output,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.5,Text-to-Speech,Amazon Polly,AWS Polly neural and standard voice synthesis,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.6,Text-to-Speech,Google Cloud TTS,Google Cloud Text-to-Speech with WaveNet voices,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.7,Text-to-Speech,Azure TTS,Azure Cognitive Services text-to-speech,"Amazon Connect, RingCentral",Basic voice
Voice Experiences,5.8,Realtime LLM,OpenAI Realtime API,WebSocket-based persistent voice sessions with audio I/O and server-side VAD,,
Voice Experiences,5.9,Realtime LLM,Gemini Live API,Google real-time voice LLM integration,,
Voice Experiences,5.10,Voice Pipeline,End-to-End Orchestration,STT to Agent Reasoning to TTS pipeline with latency optimization,,
Voice Experiences,5.11,Telephony,Twilio Media Streams,PSTN call handling via Twilio Media Streams with TwiML,Not detailed,Not detailed
Voice Experiences,5.12,Telephony,LiveKit SIP Integration,SIP trunk support via LiveKit for enterprise telephony and multi-participant,Not detailed,Not detailed
Voice Experiences,5.13,Telephony,Jambonz Gateway,Open-source Jambonz voice platform handler for SIP/PSTN,Not detailed,Not detailed
Voice Experiences,5.14,Telephony,VXML/IVR,Enterprise contact center integration for Genesys / Avaya / Cisco PBX systems,Not detailed,Not detailed
Voice Experiences,5.15,Voice Optimization,Latency Target,Configurable voice_latency_target_ms in agent execution config,,
Voice Experiences,5.16,Voice Optimization,Response Stripping,Auto-remove markdown/emoji from voice channel responses,,
Voice Experiences,5.17,Voice Optimization,SSML Support,"W3C SSML markup for prosody, emphasis, breaks, and audio cues",,
Voice Experiences,5.18,Voice Configuration,Per-Message Voice Config,"Override voice settings (SSML, instructions, plainText) per response",,
Voice Experiences,5.19,Voice Configuration,Transcript Retention,"Configurable: always, on_success, or never retain transcripts",,
Voice Experiences,5.20,Voice Configuration,Turn Detection,Server-side VAD configuration for turn-taking,,
Voice Experiences,5.21,Voice Runtime Profile,Voice-Optimized Runtime,Dedicated runtime profile with low-latency settings and concurrent call limits,,
Observability & Debugging,6.1,Trace Events,LLM Call Tracing,"Model, provider, token counts (input/output/cached), duration, cost per call",,
Observability & Debugging,6.2,Trace Events,Tool Call Tracing,"Tool name, parameters, result, duration, success/failure",,
Observability & Debugging,6.3,Trace Events,Decision Tracing,"Routing decisions, escalation triggers, handoff conditions",,
Observability & Debugging,6.4,Trace Events,Constraint Check Tracing,"Condition evaluated, context, pass/fail result",,
Observability & Debugging,6.5,Trace Events,Flow Step Tracing,"Step enter/exit, transitions, collection progress",,
Observability & Debugging,6.6,Trace Events,DSL Operation Tracing,"SET, COLLECT, CALL, RESPOND, ON_INPUT, ON_START events",,
Observability & Debugging,6.7,Trace Events,Entity Extraction Tracing,"Fields extracted, method (LLM vs regex), values",,
Observability & Debugging,6.8,Trace Events,Coordination Tracing,"Handoff, delegation, fan-out, escalation, thread return events",,
Observability & Debugging,6.9,Real-Time Streaming,WebSocket Trace Delivery,Live trace event streaming to subscribed clients,,
Observability & Debugging,6.10,Real-Time Streaming,Replay on Subscribe,Buffer recent events and replay when new subscriber connects,,
Observability & Debugging,6.11,Studio Observatory,Floating Debug Panel,Collapsible real-time debug panel in Studio UI,,
Observability & Debugging,6.12,Studio Observatory,Session Timeline,Chronological event viewer for entire session,,
Observability & Debugging,6.13,Studio Observatory,Span Tree,Hierarchical execution span tree showing call depth,,
Observability & Debugging,6.14,Studio Observatory,Agent Flow Graph,Mermaid-rendered visual routing and flow graph,,
Observability & Debugging,6.15,Studio Observatory,LLM Calls Tab,Full prompt/response viewer with token and cost details,,
Observability & Debugging,6.16,Studio Observatory,Tool Call Viewer,"Tool execution detail with params, result, duration",,
Observability & Debugging,6.17,Studio Observatory,Gather Progress Panel,Field collection progress tracker,,
Observability & Debugging,6.18,Studio Observatory,Constraint Monitor,Real-time constraint check results,,
Observability & Debugging,6.19,MCP Debug,Session Analysis,"Automated diagnostics: loops, errors, constraint violations, suggestions",,
Observability & Debugging,6.20,MCP Debug,Decision Explanation,Explain why agent made specific routing/tool/response decisions,,
Observability & Debugging,6.21,MCP Debug,Error Inspector,Get all errors and warnings from session with context,,
Observability & Debugging,6.22,Trace Storage,In-Memory Ring Buffer,Per-session configurable max events with time-based expiry,,
Observability & Debugging,6.23,Trace Storage,ClickHouse Persistence,Analytics-grade trace storage with daily partitions,,
Observability & Debugging,6.24,Trace Backends,Langfuse Integration,Export traces to Langfuse for LLM analytics,,
Observability & Debugging,6.25,Trace Backends,LangSmith Integration,Export traces to LangSmith for evaluation,,
Observability & Debugging,6.26,Distributed Tracing,HLC Timestamps,Hybrid Logical Clocks for causal event ordering across pods,,
Observability & Debugging,6.27,Distributed Tracing,Trace/Span/Parent IDs,Full span tree reconstruction across distributed execution,,
Enterprise Features,7.1,Multi-Tenancy,Tenant Isolation,"Every data path (DB, cache, events) scoped by tenantId",,
Enterprise Features,7.2,Multi-Tenancy,Per-Tenant Configuration,"Tenant-level LLM models, rate limits, encryption keys, NLU config",,
Enterprise Features,7.3,Multi-Tenancy,Per-Tenant Rate Limiting,Separate rate limits per tenant with token bucket + Redis sliding window,,
Enterprise Features,7.4,Authentication,Unified Auth Middleware,"Single convergence point for JWT, SDK token, and API key flows",,
Enterprise Features,7.5,Authentication,SSO (OIDC/SAML),Enterprise SSO with domain verification and provider configuration,,
Enterprise Features,7.6,Authentication,MFA (TOTP),Multi-factor authentication with recovery codes,,
Enterprise Features,7.7,Authentication,OAuth (Google),Google Sign-In integration,,
Enterprise Features,7.8,Authentication,Device Auth,QR code-based device authentication flow,,
Enterprise Features,7.9,Authentication,SDK Auth,SDK token verification for embedded widget connections,,
Enterprise Features,7.10,Authorization,RBAC,Role-based access control with requirePermission/requireAnyPermission,,
Enterprise Features,7.11,Authorization,Permission Guards,Per-endpoint permission requirements with custom role support,,
Enterprise Features,7.12,Encryption,Field-Level Encryption,AES-256-GCM encryption for sensitive fields with tenant-scoped DEKs,,
Enterprise Features,7.13,Encryption,KMS Integration,"Key Management Service with KEK rotation, epoch-scoped DEKs, LRU cache",,
Enterprise Features,7.14,Encryption,Vault Providers,"HashiCorp Vault, AWS Secrets Manager, Azure KeyVault, K8s Secrets, File, Env",,
Enterprise Features,7.15,Encryption,Key Rotation,Automated KEK rotation with batch reencryption queue,,
Enterprise Features,7.16,Compliance,PII Detection,"Email, phone, SSN, credit card (Luhn), IP address detection with redaction",,
Enterprise Features,7.17,Compliance,Tool Trace Scrubbing,Redact sensitive data from tool call traces,,
Enterprise Features,7.18,Compliance,Audit Logging,"25+ event types: agent lifecycle, tool execution, deployment, session, security events",,
Enterprise Features,7.19,Compliance,Data Retention Policies,"Configurable TTLs for messages (90d), sessions, traces, and persistent memory",,
Enterprise Features,7.20,Compliance,Right to Erasure,"Cascading session deletion across messages, traces, resolution keys, cached state",,
Enterprise Features,7.21,Compliance,Archive & Export,Session archival with audit log export capability,,
Enterprise Features,7.22,Secret Management,Encrypted Credential Storage,"Store API keys, OAuth tokens, tool credentials with encryption at rest",,
Enterprise Features,7.23,Secret Management,Secret Rotation,Scheduled rotation policies via admin dashboard,,
Enterprise Features,7.24,Admin Dashboard,Configuration Management,Per-environment configuration with validation and diff,,
Enterprise Features,7.25,Admin Dashboard,Audit Log Viewer,Browse and export admin action audit trail,,
Enterprise Features,7.26,Workspace Management,Invitations,Email-based workspace invitations with token-based acceptance,,
Enterprise Features,7.27,Workspace Management,Member Management,"Add/remove members, assign roles, manage permissions",,
Enterprise Features,7.28,Workspace Management,Organization Hierarchy,Multi-workspace organizations with tenant switching,,
Scalability & Resilience,8.1,Stateless Architecture,Pod-Agnostic Execution,No pod-local state as source of truth; any request lands on any pod,,
Scalability & Resilience,8.2,Stateless Architecture,Session Rehydration,Full session resume on any pod from Redis/MongoDB backing store,,
Scalability & Resilience,8.3,Distributed State,Redis-Backed Sessions,Session state in Redis cluster for cross-pod sharing,,
Scalability & Resilience,8.4,Distributed State,Distributed Locks,"Redis SET NX PX for execution locks, Lua scripts for atomic operations",,
Scalability & Resilience,8.5,Distributed State,Content-Addressed Caching,IR cache with hash-based keys so any pod builds same cache entry,,
Scalability & Resilience,8.6,Resilience,Circuit Breakers,"Three-state pattern (closed/open/half-open) per tool, per LLM provider, per KMS",,
Scalability & Resilience,8.7,Resilience,Rate Limiting,Hybrid local token bucket + Redis sliding window with per-tenant config,,
Scalability & Resilience,8.8,Resilience,LLM Request Queue,Semaphore-based concurrency control with per-model limits and backpressure,,
Scalability & Resilience,8.9,Resilience,Retry with Backoff,Configurable retry count and delay for tool calls and LLM requests,,
Scalability & Resilience,8.10,Resilience,Fallback Models,Automatic fallback to secondary LLM model on primary failure,,
Scalability & Resilience,8.11,Persistence,Dual-Write Architecture,MongoDB for metadata + ClickHouse for high-volume operational data,,
Scalability & Resilience,8.12,Persistence,Batched Writes,Message persistence queue with flush-on-threshold and time-based batching,,
Scalability & Resilience,8.13,Persistence,Connection Pooling,Pooled database and HTTP connections with keep-alive,,
Scalability & Resilience,8.14,Caching,Two-Tier IR Cache,Memory + Redis with TTL-based expiration and async warming,,
Scalability & Resilience,8.15,Caching,NLU Result Cache,Cache repeated NLU predictions to avoid redundant LLM calls,,
Scalability & Resilience,8.16,Caching,LLM Provider Cache,Share provider instances across sessions,,
Scalability & Resilience,8.17,State Checkpointing,Session Checkpoints,Full agent state serialization with parent/child branching support,,
Scalability & Resilience,8.18,State Checkpointing,Checkpoint Encryption,Pluggable encryptor for at-rest checkpoint protection,,
Scalability & Resilience,8.19,Performance,Conversation Windowing,Sliding window message cap (maxMessages) to bound LLM context size,,
Scalability & Resilience,8.20,Performance,Payload Size Validation,Check input size before compression/decompression/JSON parsing,,
Scalability & Resilience,8.21,Performance,Async Compression,gzip via promisify - never sync in request handlers,,
Governance & Control,9.1,Agent Versioning,Version Lifecycle,"Draft -> testing -> staged -> active -> deprecated -> archived",,
Governance & Control,9.2,Agent Versioning,Version Promotion,Explicit promotion workflow with who-promoted tracking,,
Governance & Control,9.3,Agent Versioning,Source Hash,Content-addressed change detection for agent definitions,,
Governance & Control,9.4,Agent Versioning,Changelog,Per-version change tracking,,
Governance & Control,9.5,Deployment Management,Environment Separation,"Dev, staging, production environments with independent config",,
Governance & Control,9.6,Deployment Management,Environment Variables,Per-environment variable configuration with copy between envs,,
Governance & Control,9.7,Deployment Management,Version Pinning,Pin deployments to specific agent versions,,
Governance & Control,9.8,Configuration,Centralized Config,18+ configuration schemas covering all infrastructure aspects,,
Governance & Control,9.9,Configuration,Config Validation,Schema-based validation with production safety checks,,
Governance & Control,9.10,Configuration,Config Diffing,Visual diff between configuration versions and environments,,
Governance & Control,9.11,Audit Trail,Comprehensive Audit Events,"Agent lifecycle, tool execution, deployment, session, coordination, security events",,
Governance & Control,9.12,Audit Trail,Actor Tracking,"Every audit event includes actor identity, timestamp, and action",,
Governance & Control,9.13,Audit Trail,Audit Export,Export audit logs for compliance review,,
Governance & Control,9.14,Access Control,Per-Endpoint Permissions,Every API endpoint has explicit permission requirements,,
Governance & Control,9.15,Access Control,SDK Key Management,"Create, revoke, and scope SDK API keys per project",,
Governance & Control,9.16,Project Management,Import/Export,"Export and import projects with agents, config, and data",,
Governance & Control,9.17,Project Management,Git Integration,GitHub/GitLab integration for version-controlled agent definitions,,
Governance & Control,9.18,Project Management,Project Locking,Lock projects during editing to prevent concurrent modifications,,
Control vs Autonomy,10.1,Dual Mode,Reasoning (Autonomous),"LLM-driven with tool selection, multi-turn reasoning, and self-directed problem solving",,
Control vs Autonomy,10.2,Dual Mode,Scripted (Controlled),Deterministic state machine with explicit step transitions and no LLM decision-making on flow,,
Control vs Autonomy,10.3,Guardrails,Pre-Turn Guardrails,Check input/output before every agent turn with block/warn/redact/escalate,,
Control vs Autonomy,10.4,Guardrails,Phase-Based Constraints,Named constraint phases checked at specific business logic points,,
Control vs Autonomy,10.5,Guardrails,Priority Ordering,"Lower priority number = higher priority, evaluated in order",,
